Genus	AS1	AS2	AS3	G1	G2	G3	G4	G5	N1	N10	N11	N12	N13	N2	N3	N4	N5	N6	N7	N8	N9	OC1	OC10	OC11	OC12	OC2	OC3	OC4	OC5	OC6	OC7	OC8	OC9	OP1	OP10	OP11	OP12	OP13	OP2	OP3	OP4	OP5	OP6	OP7	OP8	OP9	SD1	SD2	SD3	SD4	SD5	SD6	SD7	SD8	SD9	All
Paracocccus	0.00333	0.0433	0.0333	0	0.00333	0.00333	0	0	0.00333	0.01	0.0567	0.00333	0	0	0	0	0.01	0.00333	0.0967	0.0167	0.0367	0.00333	0.00333	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.00667	0	0.00333	0	0	0	0	0	0	0	0	0.00333	0.00333	0.02	0.04	0	0	0.3
Parvimonas	0.01	0.133	0.87	0.0167	0.203	0.533	0.00667	0	0	1.15	0.773	0.0333	0	0.01	0.00667	0	0.0267	0.00333	0.44	0.113	0.0733	0.02	0.213	0	0	0.163	3.22	0.54	0.297	0.123	0	0.0533	0.23	0.0233	0.683	0.0667	0	0	0.2	4.18	6.92	0.66	0.443	0.153	0.00333	0.56	0	0.00333	0.00667	0	0	0.113	0.12	0.00667	0.00667	0.3
Anaeroglobus	0	0	0	0	0.0167	0	0	0	0	0.0233	0	0	0	0	0	0	0	0	0.187	0.08	0	0.0167	0.00333	0	0.00333	0	0	0	0.0467	0.0767	0	0	0.00333	0.00333	0.00333	0.00333	0	0	0.13	0	0	0	0.23	0.0333	0	0	0	0	0	0	0	0.00667	0	0	0	0.3
Prevotella_6	0	0.09	0.17	0.0233	0.0167	0	1.01	3.05	0	0.25	0.0633	0	0.16	0	0	0	0	0	0.0467	0.0233	0.0233	0.00333	0	0.0467	0.413	0.00667	0.0333	0.01	0.0167	0.0167	0	0	0.07	0	0.183	0.02	0.343	0.653	0.00667	0.0467	0.0767	0.0233	0.153	0.15	0.00667	0.05	0.00333	0	0	0	0	0.01	0	1.08	0.97	0.3
Sphingopyxis	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0.3
Rothia	0.00333	0	0	0	0	0	0	0	0.00333	0	0	0	0	0.00333	0	0	0.00333	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0.00333	0	0.00667	0	0	0	0.0233	0	0	0.3
Tannerella	0	0.02	0.02	0	0.0367	0.0533	0.00667	0	0	0.02	0.0167	0	0	0	0	0	0	0	0.0733	0.0233	0.0267	0.0133	0.0733	0	0	0.0233	0	0	0.0267	0.0933	0	0	0.0167	0.00667	0.0467	0.0133	0	0	0.0533	0	0	0	0.06	0.06	0	0	0	0	0	0	0	0.00333	0.0367	0.00333	0	0.3
Bradyrhizobium	0.00333	0	0.00333	0	0	0	0.00333	0	0	0	0	0	0.00667	0.00333	0	0	0.00333	0.00333	0.0133	0.01	0.03	0.00333	0	0	0	0.0367	0	0	0	0	0	0	0	0.00333	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.00333	0.00667	0	0.00333	0	0.0567	0	0	0.3
Myroides	0.307	0	0	0	0	0	0	0	0.297	0	0	0	0	0.267	0.13	0	0.26	0.343	0	0	0	0.223	0	0	0	0	0	0	0	0	0	0	0	0.207	0	0	0	0	0	0	0	0.0467	0	0	0	0	0.353	0.21	0.257	0.307	0.353	0	0.0267	0	0	0.3
Clostridium_sensu_stricto_1	0	0.0267	0	0	0.0167	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0.00667	0.0667	0.0767	0	0	0	0	0	0	0	0.0267	0.0267	0.0533	0.0333	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0.00333	0.0267	0.0267	0.0167	0	0	0.3
Desulfovibrio	0.00333	0	0	0	0.00667	0.0233	0.00667	0	0	0.0233	0.0233	0	0	0.00667	0	0	0	0	0.08	0.02	0	0	0	0	0	0	0	0	0.0167	0.00667	0	0	0.00333	0	0.07	0	0	0	0	0	0	0	0.01	0.00333	0.00333	0	0	0	0	0.00333	0	0	0.00667	0	0	0.3
Erysipelotrichaceae_UCG-006	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333	0.00333	0.01	0.0233	0	0.00333	0	0.0233	0	0	0.00667	0.00333	0	0	0.00333	0	0	0	0	0	0.0567	0	0	0	0.0267	0.01	0	0.53	0	0	0	0	0	0.00333	0	0	0	0.3
Shuttleworthia	0	0.00333	0	0	0.00667	0	0.00333	0.00333	0	0.0167	0.00333	0	0	0	0	0	0	0	0.04	0	0	0.01	0	0	0	0.0167	0	0	0.00333	0	0	0	0.00667	0.01	0	0	0	0.00333	0.143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0.3
Atopostipes	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0.00333	0	0	0	0.00333	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0.00667	0.00333	0	0	0.113	0	0	0.3
Mogibacterium	0	0.00667	0.0267	0	0.0867	0.0133	0	0	0	0.09	0.05	0	0	0	0	0	0.00333	0	0.0733	0.0167	0.00667	0.02	0.01	0	0	0.0467	0.0367	0.0133	0.00667	0.07	0	0	0.0133	0.00667	0.0233	0.00333	0	0	0.06	0.00667	0.0733	0.0633	0.0233	0.02	0.00333	0.01	0	0.00333	0	0	0	0	0.03	0	0.00333	0.3
Ruminococcaceae_UCG-014	0	0.14	0.07	0	0.00333	0.00667	0	0.02	0	0.143	0.167	0.0167	0.00667	0	0	0	0	0.00333	0.133	0.0133	0	0	0.0133	0	0.00333	0	0	0	0.0467	0.00667	0	0	0.0267	0	0.06	0	0	0.01	0.00333	0	0	0	0.127	0.01	0	0	0	0	0	0	0	0	0	0	0.03	0.2
Helcococcus	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0967	0	0	0.2
Incertae_Sedis	0	0.0267	0.00333	0	0.0467	0.07	0	0	0	0.01	0.01	0.00667	0	0	0	0	0	0	0.0867	0.0233	0.0267	0	0.02	0	0	0	0	0	0.03	0.08	0	0	0	0	0.00667	0.00667	0	0	0	0	0	0	0.0533	0.0267	0	0.00667	0	0	0	0	0	0	0.01	0	0	0.2
Ruminococcaceae_UCG-005	0.00333	0	0	0	0	0	0	0	0.00333	0	0	0	0.00333	0	0.00667	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0.00333	0.00667	0	0	0	0.02	0	0	0.2
Intestinibacter	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0.00333	0	0.00333	0	0.00667	0	0.0167	0	0	0.2
Proteus	0	0.01	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0.00667	0.0433	0	0	0	0	0	0	0	0.01	0.00667	0.0167	0.03	0	0	0	0	0	0	0	0	0	0	0.0133	0.00667	0.0467	0.0367	0	0	0	0.00333	0	0.0267	0	0	0	0.2
Prevotella_1	0	0.01	0.733	0	0.527	0.173	0.05	0.00667	0	3.4	0.253	0.0267	0	0	0	0	0	0.00667	0.16	0.04	0.0633	0	0.09	0.00333	0.00333	0	0	0	0.03	0.173	0	0	1.58	0	2.88	0.0467	0.0133	0	0	0	0	0	0.12	0.13	0.00667	0.0233	0	0	0	0	0	0.0267	0.227	0.00333	0.01	0.2
Moryella	0	0	0	0	0	0.00667	0	0.00333	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0.00333	0.00333	0	0	0.00667	0	0	0	0	0	0	0	0	0	0.0133	0	0	0.00333	0	0	0	0	0	0	0.02	0	0	0.2
Oceanobacillus	2.75	0.00333	0	0	0	0	0	0	2.7	0	0	0	0.00333	3.37	1.52	0	3.11	3.18	0.00333	0	0	2.71	0	0	0	0	0	0	0	0.00333	0.00667	0	0	2.78	0	0	0	0	0.00333	0	0	0.99	0	0	0	0	2.75	2.5	3.2	3.07	2.66	0	0.0367	0	0	0.2
Opitutus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0667	0	0	0.2
Olsenella	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0133	0.00333	0	0.00333	0	0	0	0.00667	0	0	0.00333	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0.2
Prevotellaceae_Ga6A1_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Methylophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0.0167	0	0	0	0	0	0	0	0	0	0	0	0.0133	0	0	0	0	0	0.00333	0	0.00333	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0.2
Macrococcus	0.00333	0	0	0	0	0	0	0	0.01	0	0	0	0.00667	0.00667	0.00333	0	0.0133	0	0	0.00333	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0.00333	0	0.00333	0	0.0333	0	0	0.2
Lysinibacillus	0.313	0	0	0	0	0.00333	0	0	0.277	0	0	0	0	0.377	0.2	0	0.233	0.323	0.00667	0	0	0.27	0	0	0	0	0	0	0	0	0	0	0	0.263	0	0	0	0	0	0	0	0.1	0	0	0	0	0.287	0.273	0.287	0.32	0.34	0	0.0167	0	0	0.2
Phenylobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0.00667	0	0	0	0	0	0.00667	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0.00333	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163	0	0	0.2
Reyranella	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0.0133	0.01	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0.0133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Peptoniphilus	0	0	0.0733	0	0	0	0	0	0	1.35	12.6	0.693	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0.02	0.00333	0	0.2
Ralstonia	0.02	0	0.01	0	0	0	0.00667	0	0.01	0	0	0	0.00333	0.0267	0	0	0.01	0.0167	0.00333	0	0	0.0133	0	0.00333	0	0.0167	0	0	0	0	0	0	0.00667	0.00667	0.0367	0	0	0	0.00333	0	0	0.00333	0	0	0	0	0.01	0.02	0.00667	0	0.00667	0	0.0533	0.00667	0.00333	0.2
Megasphaera	0	0	0.0633	0.00333	0	0	0	0	0.00333	0.163	0.01	0	0.0367	0	0.00667	0.00333	0.01	0	0	0	0	0.0133	0	0	0	0.103	0.863	0.433	0	0	0	0	0.04	0.0233	0.0133	0.00333	0	0	0.17	5.25	9.37	0.0333	0	0	0	0	0.00333	0.0533	0	0	0	0	0.00667	0	0	0.2
Stomatobaculum	0	0.00667	0.03	0	0.00333	0.00333	0.16	0.52	0	0.243	0.0467	0.0133	0.0267	0	0	0	0	0	0	0	0.0133	0	0	0.0167	0.05	0	0	0	0.00667	0.01	0	0.02	0.127	0	0.09	0.0133	0.0333	0.0467	0	0	0	0	0.0167	0.01	0.03	1.61	0	0	0	0	0	0.0467	0	0.177	0.0667	0.2
Streptobacillus	0	0.53	0.37	0.00667	0	0.01	0.0333	0.853	0	0.09	0.277	0.00333	0.0267	0	0.0133	0.00333	0	0	1.08	0.173	0.197	0	0	0	0.213	0.317	0.9	0.32	0.0133	0	0	0	0.01	0	0	0	0.00333	1.49	0.38	1.53	0.243	0.00333	0.353	0	0.00333	0	0.01	0.22	0	0	0	0	0	0.05	1.2	0.2
Acidovorax	0.00667	0	0.02	0.00333	0	0	0	0	0.00667	0.00333	0.00333	0	0.00333	0.00333	0	0	0.00333	0.00333	0.00667	0	0	0.00333	0.00333	0	0	0.0133	0	0	0	0	0	0	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0	0	0.00667	0.0133	0.01	0.00667	0.00667	0	0.05	0	0	0.2
Dolosigranulum	0	0	0.37	0	0	0.00333	0	0	0.02	4.37	5.34	9.97	0.83	0.00333	0.0233	0	0	0	0	0	0	0.00667	0	0.00667	0	0	0	0	0	0	0	0	0.00333	0	0.00333	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137	0.2
Sphingobacterium	0.01	0	0	0	0	0	0	0	0.00667	0	0	0	0.0133	0.00667	0	0	0.00333	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0.00333	0.00333	0	0.00667	0.0133	0	0.137	0	0	0.2
Epilithonimonas	0.00667	0	0	0	0	0	0	0	0.00667	0	0	0	0	0.0133	0.00333	0	0.01	0.01	0	0	0	0.0167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0.0133	0.00667	0.01	0.0133	0	0.0633	0	0	0.2
Aerococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0.00333	0	0	0	0	0	0.0133	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.00333	0	0	0.2
Butyrivibrio_2	0	0.03	0.01	0	0.05	0.00333	0.00667	0.00333	0	0.307	0.01	0	0.00333	0	0	0	0	0	0.153	0.0233	0.0333	0	0.00333	0	0	0	0	0	0.0767	0.05	0	0.00667	0.1	0	0.31	0	0	0	0	0	0	0	0.307	0.03	0	0.0133	0	0	0	0	0	0.01	0.00667	0	0	0.2
Brochothrix	0.447	0	0	0	0	0	0	0	0.46	0	0.00333	0	0.15	0.42	0.207	0	0.403	0.37	0	0	0	0.287	0	0	0	0	0	0	0	0	0	0	0	0.383	0	0	0	0	0	0	0	0.0967	0	0	0	0	0.433	0.363	0.39	0.403	0.483	0	4.77	0	0	0.2
Brachybacterium	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0.00333	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0.00333	0	0	0	0	0	0.2
Cardiobacterium	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0.00333	0.0233	0	0	0.0633	0	0	0.00333	0.0133	0.00333	0	0	0.00667	0.00333	0	0	0	0.127	0	0	0	0.0133	0	0	0	0	0	0	0	0	0	0.00333	0	0	0.2
Defluviitaleaceae_UCG-011	0	0	0.0133	0	0.00333	0.00333	0.00333	0	0	0.0133	0.00333	0	0	0	0	0	0	0	0	0	0	0.00333	0.00333	0	0	0.00333	0	0.00333	0.00667	0.00333	0	0	0.00333	0	0.00333	0	0	0	0.00333	0	0.00333	0.0167	0.01	0.00667	0	0	0	0	0	0	0	0	0	0	0.00333	0.2
Bifidobacterium	0	0	0	0	0	0	0.33	0	0.00667	0	0	0	0	0	0	0	0.00333	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0.00333	0	0	0.2
Caulobacter	0.0167	0	0	0	0	0	0	0	0.0133	0	0.00333	0	0.0133	0.02	0.00333	0	0.01	0.0233	0	0	0	0.0167	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.0133	0.00333	0.0167	0.0133	0.0133	0	0.253	0	0	0.2
Solibacillus	0.303	0	0	0	0	0	0	0	0.353	0	0	0	0	0.343	0.26	0	0.323	0.377	0	0	0	0.323	0	0	0	0.00667	0	0	0	0	0	0	0	0.29	0	0	0	0	0	0	0	0.127	0	0	0	0	0.347	0.347	0.313	0.317	0.34	0	0	0	0	0.2
Gemella	0.0167	0.793	2.2	0.0733	0.05	0.683	1.35	0.817	0.00333	0.923	1.76	0.07	0.12	0	0	0.00333	0.00333	0	0.607	0.123	0.223	0.02	0.05	0.117	0.56	0.13	0.25	0.07	0.00667	0.02	0.377	1.12	1.56	0.0233	0.773	0.07	0.733	0.81	0.08	0.207	0.163	0.14	0.29	0.0233	0.523	2.12	0	0.0367	0.00333	0	0	1.83	0.0133	3.09	3.79	0.2
Faecalibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Filifactor	0.00333	0.0333	0.27	0.00667	0.0467	0.307	0.00667	0.01	0.00333	1.06	0.26	0	0	0	0	0	0.0133	0	0.16	0.0667	0.03	0.0133	0.0567	0	0	0.0433	0.07	0.0333	0.15	0.11	0.00333	0.0167	0.35	0.0267	0.773	0.0167	0	0	0.0667	0.0133	0.0867	0.223	0.213	0.07	0	0.26	0	0	0.00333	0	0	0.08	0.117	0	0	0.2
Gemmatimonas	0	0	0.00667	0.00333	0	0	0	0	0.00667	0	0.00333	0	0.01	0.00667	0	0	0	0	0.00667	0.0267	0.0167	0	0	0	0	0.23	0	0	0	0	0	0	0	0	0	0	0	0	0.0767	0	0	0	0	0	0	0	0	0	0	0	0	0	0.193	0	0	0.2
Family_XIII_UCG-001	0	0.01	0	0	0.00667	0.0433	0.00667	0	0	0.03	0.0233	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.0167	0.01	0	0	0.0233	0.00333	0.03	0	0	0	0.00333	0	0	0	0.03	0.00667	0	0.00667	0	0	0	0	0	0	0	0	0.00333	0.2
Variovorax	0.00333	0	0.01	0	0	0	0.00333	0	0	0	0.00333	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Vibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0.01	0.00333	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0.1
Prevotella_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.00333	0.0167	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Albidiferax	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Trueperella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333	0	0	0.1
Pseudochrobactrum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0.01	0	0	0	0	0	0.1
Prevotellaceae_UCG-004	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Shinella	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.1
Turneriella	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0267	0	0	0.1
Weissella	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
[Eubacterium]_coprostanoligenes_group	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0167	0.00333	0.00333	0.0167	0	0	0	0.00333	0	0	0	0	0	0	0	0.0167	0	0	0	0	0	0	0	0.0367	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0.1
[Eubacterium]_brachy_group	0	0	0.443	0	0	0.813	0.0333	0.00667	0	0.137	0.513	0	0.00333	0	0	0	0	0	0	0	0	0	0.08	0.00333	0.0333	0	0	0	0	0	0	0	0.203	0	0.27	0.0133	0.00333	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0.03	0.0567	0.1
Alysiella	0	0.0267	0.0933	0	0	0	0	0	0	0.02	0.00667	0	0	0	0	0	0	0	0.0167	0.00333	0.07	0	0	0	0	0	0	0	0.0833	0	0	0	0.117	0	0.123	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0.00333	0	0	0.1
Porphyrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0.00333	0	0	0.00333	0	0	0.0133	0	0	0.1
arsenic-oxidizing_bacterium_A01	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0.01	0	0.00333	0	0.1
Alkanindiges	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0.0533	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Wolinella	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0233	0.00667	0.0133	0	0	0	0	0	0	0	0.00333	0.00333	0	0	0	0	0.00667	0	0	0	0	0	0	0	0.00333	0.00333	0.00333	0	0	0	0	0	0	0	0	0	0	0.1
Xenophilus	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0.00667	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0.00333	0	0.00333	0.00333	0.00333	0	0	0	0	0.1
Alloscardovia	0	0	0	0	0	0	0.0567	0.183	0	0.03	0.0233	0.00333	0.02	0	0	0	0	0	0	0	0	0	0.0167	0.00333	0.0333	0	0	0	0	0	0	0	0.0133	0	0.00667	0	0.00333	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0967	0.127	0.1
Shewanella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0.00333	0	0.0233	0	0	0.1
Sporosarcina	0.0167	0	0	0.0167	0	0	0	0	0.0267	0	0	0	0	0.03	0.00667	0	0.0267	0.00667	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.0133	0	0	0	0	0	0	0	0.01	0	0	0	0	0.0133	0.0167	0.0167	0.03	0.0233	0	0	0	0	0.1
Sporolactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.0133	0.0133	0	0	0	0	0.00333	0	0	0.00667	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0.1
Stappia	0	0.01	0.02	0	0.00667	0	0	0	0	0.02	0.03	0.00333	0	0.00333	0	0	0.00333	0	0.15	0.0233	0.0233	0	0	0	0	0.0167	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0.0233	0.0467	0	0.00333	0.1
Slackia	0	0.00667	0	0	0	0	0	0	0	0.00333	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0.00333	0	0	0	0	0	0	0	0	0	0	0.00333	0.0267	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Actinobacillus	0.05	1.64	0.82	0	0.00667	0.107	8.42	0.387	0.00333	0.177	0.09	0.0167	0.0167	0	0	0.00333	0	0	0.473	0.103	0.177	0.01	0.00667	0.44	0.0167	0.00667	0	0.00333	0.03	0.0167	0	0	0.0333	0.01	0.0667	0	0.287	0.0367	0.00333	0	0	0	0.68	0.0367	0	0	0	0	0	0	0	0	0	4.14	0.267	0.1
Snodgrassella	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0.00333	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.1
Sphaerochaeta	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Romboutsia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0.00333	0	0	0	0	0.0133	0	0	0.1
Solobacterium	0.01	0.123	0.203	0	0.00333	0.00333	0.34	0.39	0.00333	0.95	0.393	0.01	0.0367	0	0	0	0	0	0.0667	0.0233	0.07	0.01	0.00333	0.1	0.04	0.03	0.0733	0.00333	0.173	0.00667	0	0.0433	0.37	0.0167	0.147	0.0233	0.43	0.04	0.0333	0.0133	0.03	0.0533	0.0933	0	0.00333	0.323	0	0	0	0	0	0.2	0	0.467	0.163	0.1
Rhizobium	0	0	0	0	0	0	0	0	0	0	0.00667	0	0.00333	0	0	0	0	0	0	0.01	0.0133	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0.1
Sphingobium	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0.00333	0.0533	0.163	0	0	0	0	0.0133	0	0	0	0.00333	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Rahnella	0.05	0	0	0.00333	0	0	0	0	0.0633	0	0	0.00333	0.0133	0.0433	0.0467	0	0.0367	0.0433	0	0	0.00333	0.06	0	0	0	0	0	0	0	0	0.00667	0	0	0.0367	0	0	0	0	0	0	0	0.02	0	0	0	0.00333	0.0367	0.04	0.0567	0.06	0.0367	0	0.297	0	0	0.1
