Genus	AS1	AS2	AS3	G1	G2	G3	G4	G5	N1	N10	N11	N12	N13	N2	N3	N4	N5	N6	N7	N8	N9	OC1	OC10	OC11	OC12	OC2	OC3	OC4	OC5	OC6	OC7	OC8	OC9	OP1	OP10	OP11	OP12	OP13	OP2	OP3	OP4	OP5	OP6	OP7	OP8	OP9	SD1	SD2	SD3	SD4	SD5	SD6	SD7	SD8	SD9	All
Porphyromonas	0	0.897	1.51	0.04	0.457	1.44	0.123	0.0733	0.00667	5.13	1.17	0.04	0.0733	0	0	0.00333	0.0367	0.00333	1.4	0.257	0.207	0.0933	0.35	0.00667	0.13	0.0967	0.303	0.613	0.387	0.457	0.00333	0.04	1.4	0.257	4.55	0.0933	0.01	0.02	0.207	1.04	0.88	0.35	2.43	0.68	0.01	0.753	0	0.0333	0	0	0	0.127	1.51	0.0567	0.07	1.3
Paenibacillus	0.0867	0.00333	0	0.00667	0	0	0	0	0.0867	0	0	0	0.00333	0.0833	0.0367	0	0.117	0.12	0	0.00333	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0	0	0.0467	0	0	0	0	0.0533	0.0867	0.0733	0.11	0.107	0	0.103	0	0	1.3
Flavobacterium	0.103	0	0	0	0	0	0	0	0.0767	0	0	0	0.0233	0.05	0.0533	0	0.0667	0.127	0	0	0	0.0433	0	0	0	0	0	0	0	0	0	0	0	0.0833	0	0	0	0	0	0	0	0.0167	0	0	0	0	0.08	0.09	0.0667	0.0967	0.123	0	0.45	0	0	1.3
Psychrobacter	1.82	0	0	0	0	0	0	0	1.74	0	0	0	0.0233	1.8	0.697	0	1.68	2.28	0	0	0.0133	1.56	0	0	0	0	0	0	0	0	0	0	0	1.3	0	0	0	0	0.00333	0	0.00333	0.443	0.00333	0	0	0	1.72	1.44	1.53	2.18	2.48	0	1.08	0	0	1.3
Actinomyces	0.00667	0.0833	0.237	0	0.0167	0.06	0.0267	1.1	0	1.15	0.633	0.12	0.22	0.00333	0	0	0	0	0.277	0.0733	0.0533	0.0233	0.0433	0.00333	0.0267	0.0867	0.00667	0	1.08	0.02	0	0	2.32	0.0133	1.32	0.0533	0.0133	0.06	0.0733	0.01	0.00667	0.00333	2.86	0.0267	0.00333	0	0	0	0	0	0	0.02	0.05	0.0133	0.0433	1.1
Selenomonas_3	0	0.07	0.157	0	0	0.0433	0	0.00667	0	0.86	0.393	0.0233	0.0133	0	0	0	0	0	0.137	0.1	0	0.0367	0.0267	0	0	0.05	0	0	0.0967	0.04	0	0	0.243	0.07	0.66	0.0233	0.00333	0.00333	0.0933	0	0.0133	0.01	0.39	0.0467	0	0	0	0	0	0	0	0.00333	0.03	0	0	1.1
Johnsonella	0	0.17	0.01	0	0.0133	0.0367	0.00333	0.0267	0	0.0733	0.0133	0	0	0	0	0	0	0.00333	0.137	0.05	0.0267	0.0233	0.0233	0.00333	0.0133	0.0233	0	0	0.117	0.01	0	0	0.00333	0.0167	0.03	0	0.00333	0.00667	0.117	0	0.00333	0	0.573	0.00667	0	0.01	0	0	0	0	0	0.00333	0.0733	0	0.0367	1.0
Lactobacillus	0.03	0.00333	0.0133	1.05	0.00333	0.00667	0.417	0.01	0.04	0	0.00333	0	0.0133	0.0667	0.0467	0	0.0467	0.03	0	0.00333	0	0.06	0.00667	0.00333	0	0.01	0	0	0	0	0	0	0.00333	0.0333	0.0133	0	0	0	0	0	0	0.01	0.00333	0	0	0	0.0367	0.0567	0.0467	0.05	0.0567	0	0.0667	0	0	1.0
Oribacterium	0	0.307	0.157	0.01	0.09	0.0167	0.13	0.543	0	0.633	0.377	0.0367	0.0533	0.00333	0.00333	0	0.00333	0	0.66	0.1	0.09	0.00667	0.02	0.0267	0.38	0.0533	0.273	0.0467	2.65	0.0533	0.0333	0.89	0.763	0.01	0.537	0.0867	0.0133	0.697	0.177	0.503	0.213	0.1	3.24	0.0533	0.1	0.687	0	0.21	0	0	0	0.387	0.00333	0.197	0.443	1.0
Stenotrophomonas	0.0367	0.0133	0	0.117	0.01	0	0.00333	0	0.157	0.0133	0.0367	0.01	0.507	0.0567	0.02	0.0133	0.04	0.0867	0.64	1.01	2.29	0.127	0.00333	0	0	6.48	0	0.00667	0.0167	0.0133	0	0	0.00333	0.14	0	0	0	0	2.43	0	0.00667	0.0233	0.0833	0.00667	0	0.00333	0.03	0.0467	0.04	0.0633	0.07	0.01	10.5	0	0	1.0
Sphingomonas	0.00333	0.03	0.0167	2.15	0	0.01	0.00333	0	0.00667	0.0233	0.0367	0.00333	0.00333	0	0.00667	0	0	0.00667	0.157	0.0933	0.133	0.00333	0	0	0	0.137	0	0	0	0.00667	0	0	0	0.00333	0.00333	0	0	0	0.0467	0	0	0	0.02	0	0	0	0.00333	0.00333	0	0	0	0.0133	0.0567	0	0.02	0.9
Campylobacter	0	0.2	2.45	0.00333	0.18	0.523	0.0167	0.173	0	1.88	1.58	0.103	0.0733	0.00333	0	0	0.00333	0.00667	0.283	0.0433	0.07	0.153	0.34	0.00667	0.0267	0.77	0.727	0.35	0.427	0.23	0	0.00333	1.36	0.123	1.46	0.14	0.00667	0.0167	3.58	0.483	0.39	0.0333	0.807	0.25	0.01	0.14	0	0.0167	0	0	0	0.0333	0.19	0.00333	0.147	0.9
Prevotella_2	0	0.133	0.01	0	0.173	0.0233	0	0	0	0.0167	0	0	0	0	0	0	0	0.00667	0.0733	0.0233	0.0267	0.0967	0.0433	0	0	0.137	0	0	0.05	0.287	0	0.00333	0.0233	0.103	0.2	0.02	0	0	0.163	0.00333	0.00667	0.0267	0.24	0.633	0.0167	0.16	0	0	0	0	0	0.0133	0.0167	0.00667	0	0.9
Selenomonas_4	0	0.00333	0.06	0	0.00333	0.0133	0	0	0	0.02	0	0	0	0	0	0	0	0	0.0567	0.00667	0.00667	0.0267	0.02	0	0	0.0967	0	0	0.07	0.0367	0	0	0.00333	0.0333	0.02	0.00667	0	0	0.113	0	0	0	0.15	0.0367	0.00667	0.00333	0	0	0	0	0	0	0.0167	0	0	0.8
