Order	AS1	AS2	AS3	G1	G2	G3	G4	G5	N1	N10	N11	N12	N13	N2	N3	N4	N5	N6	N7	N8	N9	OC1	OC10	OC11	OC12	OC2	OC3	OC4	OC5	OC6	OC7	OC8	OC9	OP1	OP10	OP11	OP12	OP13	OP2	OP3	OP4	OP5	OP6	OP7	OP8	OP9	SD1	SD2	SD3	SD4	SD5	SD6	SD7	SD8	SD9	All
Unassigned	0.307	0.473	0.0467	0.233	0.0867	0	0.577	0.167	0.31	0.04	0.0533	0.02	0.02	0.29	0.15	0.00333	0.327	0.333	0.343	0.0767	0.0933	0.367	0.107	0.697	0.0733	0.0567	0.86	2.33	0.0267	0.0533	0.0767	0.0633	0.0567	0.273	0.163	0.00333	0.883	0.323	0.133	0.06	0.373	0.263	0.27	0.04	0.0133	0.24	0.363	0.293	0.32	0.333	0.477	0.167	0.0667	0.48	0.283	2.2
Enterobacteriales	0.07	0.0367	0.02	52.8	10.1	0.01	2.93	0.417	0.1	1.82	0.513	2.37	62.7	0.06	14.7	30.5	1.05	0.09	0.47	1.37	0.243	0.0767	23.2	11.4	0.123	0.563	5.29	3.47	0.0133	1.06	0.99	0.31	0.00667	0.0633	0.00667	0.0433	0.663	0.05	0.493	0.413	0.607	0.477	0.05	0.827	0.37	0.297	0.83	0.0533	0.493	0.107	0.38	40	0.593	0.63	4.31	2.1
Pasteurellales	0.323	19.2	19.9	0.427	33.4	10.1	40.6	18.9	0.107	11.7	5.41	0.6	1.55	0.03	0.0367	0.03	1.57	0.08	12.6	3.77	21.3	1.41	33.1	30.1	11.2	3.39	14.1	12.1	40.5	49	25.7	16.4	37.6	1.61	32.6	40.5	45	28.2	3.71	14.5	12.4	11.5	12.7	39.5	32.2	17.1	0	0.08	0.393	0.00667	0	5.84	4.29	45.2	23	1.9
Micrococcales	2.12	0	0.00333	0.00333	0	0	0	0	2.08	0.00667	0.0167	0	0.0167	2.04	0.92	0.00333	1.97	2.2	0	0.0167	0.0367	1.74	0	0	0	0.00333	0	0	0	0	0	0	0	1.66	0	0	0	0	0.00333	0	0.00333	0.67	0.00667	0.00333	0	0	2.39	1.69	2.09	2.34	2.53	0	0.16	0	0	1.5
Campylobacterales	0.00667	0.2	2.45	0.0233	0.187	16.9	0.03	0.27	0	1.89	1.58	0.103	0.0733	0.00333	0	0	0.00333	0.00667	0.307	0.05	0.0833	0.153	0.34	0.00667	0.0267	0.77	0.727	0.35	0.43	0.233	0	0.00333	1.36	0.123	1.47	0.14	0.00667	0.0167	3.58	0.483	0.39	0.0333	0.81	0.253	0.0133	0.14	0.00333	0.0167	0	0	0.01	0.0333	0.277	0.00333	0.147	1.5
Actinomycetales	0.00667	0.0833	0.237	0	0.02	0.06	0.0267	1.1	0	1.15	0.633	0.12	0.22	0.00333	0	0	0	0	0.283	0.0733	0.0533	0.0233	0.0433	0.00333	0.0267	0.0867	0.00667	0	1.08	0.02	0	0	2.32	0.0133	1.32	0.0533	0.0133	0.06	0.0733	0.01	0.00667	0.00333	2.87	0.03	0.00333	0	0	0	0	0	0	0.02	0.0833	0.0133	0.0433	1.3
Xanthomonadales	0.0367	0.0133	0	0.117	0.01	0	0.00333	0	0.157	0.0133	0.0367	0.01	0.507	0.06	0.02	0.0133	0.04	0.0867	0.64	1.01	2.33	0.127	0.00333	0	0	6.48	0	0.00667	0.0167	0.0133	0	0	0.00667	0.14	0	0	0	0	2.43	0	0.00667	0.0267	0.0833	0.00667	0	0.00333	0.03	0.05	0.0433	0.0633	0.0733	0.0167	10.5	0	0	1.3
Caulobacterales	0.05	0	0.0367	0.263	0	0.0233	0	0	0.0433	0.07	0.0233	0	0.107	0.03	0.00667	0	0.0233	0.04	0.0533	0.0833	0.187	0.0333	0	0	0	0.603	0	0	0.00667	0.00333	0	0	0	0.0567	0.00333	0	0	0	0.273	0	0.00333	0.00333	0.00667	0	0	0	0.04	0.0267	0.03	0.0367	0.04	0.00667	2.17	0.00333	0	1.1
Sphingobacteriales	0.0133	0.02	0	0.123	0.0233	0.00333	0	0	0.04	0.0267	0.0267	0.00667	0.0167	0.0267	0.01	0.0767	0.0167	0.0267	0.423	0.527	1.52	0.0567	0.00667	0	0	2.34	0	0	0.147	0.04	0	0	0	0.07	0	0	0	0	1.65	0	0	0.00333	0.163	0.03	0.00333	0.01	0.00667	0.00667	0.00667	0.0133	0.0167	0.01	0.373	0	0	0.9
Coriobacteriales	0.00333	0.0133	0.0633	0	0.0133	0.01	0.0267	0.513	0	0.383	0.14	0.00333	0.0367	0	0	0.00333	0.00333	0	0.0567	0.00667	0.01	0.0167	0.00333	0.00333	0.02	0.0567	0.0367	0.03	0.0167	0.01	0	0	0.0633	0.0167	0.0467	0.00667	0.00667	0.21	0.13	0.16	0.24	0.157	0.0367	0.0167	0	0.0167	0	0	0	0	0	0	0.01	0.0433	0.333	0.8
Erysipelotrichales	0.01	0.143	0.293	0	0.0267	0.133	0.343	0.44	0.00333	0.963	0.48	0.01	0.0367	0	0	0	0	0	0.17	0.04	0.0867	0.0333	0.00333	0.103	0.05	0.0533	0.0733	0.00333	0.203	0.0267	0	0.05	0.39	0.0167	0.223	0.0267	0.43	0.05	0.09	0.0133	0.03	0.0767	0.187	0.0133	0.00333	1.18	0	0	0	0	0	0.457	0.00333	0.467	0.24	0.8
Corynebacteriales	0.00333	0	1.99	0.00333	0	0	0	0	0.09	2.19	12.7	12.9	14	0.0267	0.0333	0.103	0	0.00333	0.157	0.617	13.6	0.00667	0	0	0	0.03	0	0	0	0.00333	0	0	0.00333	0.00333	0.00667	0	0	0.01	0.0167	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0.00333	0.00333	0.7
Synergistales	0	0.01	0.0367	0	0.0533	0.29	0.0133	0.00667	0	0.11	0.0467	0.00333	0	0	0	0	0.00667	0	0.15	0.06	0.01	0.0167	0.21	0	0	0.00333	0	0	0.103	0.0767	0	0	0.0633	0.03	0.21	0.0467	0	0	0.0233	0	0	0.00333	0.123	0.0533	0.00667	0.0133	0	0	0	0	0	0.00333	0.0633	0.00333	0	0.6
Rhodobacterales	0.00667	0.0533	0.0533	0	0.01	0.00333	0	0	0.00333	0.03	0.0867	0.00667	0	0.00333	0	0	0.0133	0.00667	0.247	0.04	0.06	0.00333	0.00333	0	0	0.0167	0	0	0	0	0	0	0	0.00333	0.01	0	0	0	0.00667	0	0.00333	0	0.00667	0	0	0	0.00333	0	0	0.00333	0.00333	0.0433	0.117	0	0.00333	0.6
Rhodospirillales	0	0	0	0	0	0	0	0	0.00333	0	0.00333	0	0.00333	0	0	0	0	0	0	0.0133	0.01	0	0	0	0	0.44	0	0	0	0	0	0	0	0	0	0	0	0	0.0333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0.5
Desulfovibrionales	0.00333	0	0.673	0	0.0167	0.14	0.00667	0	0	0.0633	0.13	0.00667	0	0.00667	0	0	0	0	0.0867	0.02	0	0	0.0267	0	0	0	0	0	0.0167	0.00667	0	0	0.00333	0	0.0967	0.00333	0	0	0	0	0	0	0.0167	0.00333	0.00333	0	0	0	0	0.00333	0	0.00667	0.0433	0	0	0.5
Mycoplasmatales	0	0	0.0467	0	0.163	0.12	0.137	0.557	0	0.107	0.0467	0.01	0.0133	0	0	0	0.00333	0	0.157	0.00667	0.0167	0	0.297	0.00667	0.04	0.0267	0.00333	0.0133	0.0267	0.117	0	0.00333	0.06	0	0.14	0.0867	0.0867	0.347	0.0267	0.01	0.01	0.0133	0.103	0.09	0	0.0833	0	0.00333	0	0	0	0.00333	0.323	0.16	0.733	0.4
Bifidobacteriales	0	0	0	0	0.01	0	0.387	0.187	0.00667	0.03	0.0233	0.00333	0.02	0	0	0	0.00333	0.00667	0.00667	0.00333	0	0	0.0167	0.00333	0.0333	0	0	0	0.0267	0.0233	0	0	0.0133	0	0.00667	0	0.00333	0.00667	0	0	0	0	0.00333	0.0167	0	0	0	0.00333	0	0	0	0	0.00333	0.0967	0.137	0.4
Acholeplasmatales	0	0	0.0133	0	0.0167	0.0133	0.00667	0	0	0	0	0	0	0	0	0	0	0	0.0233	0.00333	0	0	0.00333	0	0	0	0	0	0.0267	0.00333	0	0	0.00333	0	0.0133	0.00667	0	0	0	0	0	0	0.02	0.0133	0	0.00667	0	0	0	0	0	0.00333	0.0133	0	0.00333	0.3
Anaerolineales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0233	0	0	0	0.00667	0	0	0	0	0	0.00667	0.01	0	0	0	0.01	0	0	0	0	0.00667	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.00333	0	0	0.3
Opitutales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0667	0	0	0.2
Cardiobacteriales	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0.00333	0.0233	0	0	0.0633	0	0	0.00333	0.0133	0.00333	0	0	0.00667	0.00333	0	0	0	0.127	0	0	0	0.0133	0	0	0	0	0	0	0	0	0	0.00333	0	0	0.2
Vibrionales	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0.0167	0.00667	0.0167	0	0	0	0	0	0	0	0	0	0	0.00667	0.00333	0.0133	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0.2
Methylophilales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0.0167	0	0	0	0	0	0	0	0	0	0	0	0.0133	0	0	0	0	0	0.00333	0	0.00333	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0.2
Mollicutes_RF9	0	0	0.11	0	0	0.00333	0.253	0.213	0	0.247	0.0867	0	0.02	0	0	0	0	0	0	0	0	0	0	0.01	0.0267	0	0	0	0	0	0	0	0.03	0	0.0167	0	0.05	0.0667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37	0.23	0.2
Obscuribacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.00667	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0.0133	0	0	0.2
Gemmatimonadales	0	0	0.00667	0.00333	0	0	0	0	0.00667	0	0.00333	0	0.01	0.00667	0	0	0	0	0.00667	0.0267	0.0167	0	0	0	0	0.23	0	0	0	0	0	0	0	0	0	0	0	0	0.0767	0	0	0	0	0	0	0	0	0	0	0	0	0	0.193	0	0	0.2
Thermoplasmatales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0167	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Subgroup_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.1
Subgroup_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0.0133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Desulfobacterales	0	0	0.00667	0	0	0.0167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0133	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.00333	0	0	0	0	0	0	0.00333	0	0	0.1
GR-WP33-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.1
Cytophagales	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0.1
Alteromonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0.00333	0	0.0233	0	0	0.1
Chlorobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0233	0	0	0.1
Lineage_IV	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0.1
Pseudonocardiales	0	0	0.0233	0	0	0.00333	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0.00333	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0.1
Rhodocyclales	0	0	0	0	0	0	0	0	0.00333	0	0	0	0.04	0	0	0	0	0	0	0.00667	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.37	0	0	0.1
NB1-n	0	0	0.00667	0	0.01	0.0433	0	0	0	0.0133	0	0	0	0	0	0	0	0	0	0	0.00333	0	0.00333	0	0	0	0	0	0.01	0.00333	0	0	0	0	0.02	0	0	0	0	0	0	0	0.0167	0.0167	0	0	0	0	0	0	0	0	0	0	0	0.1
Methanobacteriales	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0.00333	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0.1
Myxococcales	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0867	0	0	0.1
