Family	AS1	AS2	AS3	G1	G2	G3	G4	G5	N1	N10	N11	N12	N13	N2	N3	N4	N5	N6	N7	N8	N9	OC1	OC10	OC11	OC12	OC2	OC3	OC4	OC5	OC6	OC7	OC8	OC9	OP1	OP10	OP11	OP12	OP13	OP2	OP3	OP4	OP5	OP6	OP7	OP8	OP9	SD1	SD2	SD3	SD4	SD5	SD6	SD7	SD8	SD9	All
Methylophilaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0.0167	0	0	0	0	0	0	0	0	0	0	0	0.0133	0	0	0	0	0	0.00333	0	0.00333	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0.2
Listeriaceae	0.447	0	0	0	0	0	0	0	0.46	0	0.00333	0	0.15	0.42	0.207	0	0.403	0.37	0	0	0	0.287	0	0	0	0	0	0	0	0	0	0	0	0.383	0	0	0	0	0	0	0	0.0967	0	0	0	0	0.433	0.363	0.39	0.403	0.483	0	4.77	0	0	0.2
Unknown_Family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.00667	0	0	0	0	0.0133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.2
WCHB1-69	0	0.00667	0	0	0.0233	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0.02	0.0133	0.01	0.00333	0	0	0.00333	0	0	0.12	0.0233	0	0	0	0.00667	0	0	0	0	0.0333	0	0	0	0.11	0.03	0.00333	0.00667	0	0	0	0	0	0.00333	0.01	0	0	0.2
Rhodospirillales_Incertae_Sedis	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0.0133	0.01	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0.0133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Rhizobiaceae	0.00333	0	0	0	0	0	0	0	0	0	0.00667	0	0.00333	0	0	0	0	0	0	0.01	0.0133	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0.2
Microbacteriaceae	0.00333	0	0	0	0	0	0	0	0	0.00667	0	0	0.00333	0	0	0	0.00333	0	0	0	0.00333	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0.00333	0	0.0133	0	0	0.0267	0	0	0.2
Bacteroidales_Incertae_Sedis	0	0	0.0133	0.00333	0.0433	0.00333	0	0	0	0	0.01	0	0	0	0	0	0	0	0.113	0.0333	0	0.157	0	0	0	0.113	0.00333	0	0.0733	0.04	0	0	0	0.107	0.00333	0	0	0	0.413	0.00333	0	0.00667	0.12	0.0667	0	0.01	0	0	0	0	0	0.00333	0	0	0	0.1
Rhodospirillaceae	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.1
CCU22	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.1
Syntrophomonadaceae	0	0	0	0	0	0.04	0	0	0	0	0.00333	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0.0133	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.00333	0	0	0	0	0	0	0	0	0	0	0	0.1
Brevibacteriaceae	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0.1
16d63.751	0	0.04	0.02	0	1.28	0.0267	0.927	0.177	0	0	0	0.00333	0.00333	0.00333	0.01	0	0	0	0.00333	0.01	0.02	0.00667	3.78	0.187	0.0133	27.8	0.0567	0.00333	0.04	0.14	0.0633	0.05	0.00333	0.02	0.00333	0.747	0.12	0.0567	22.5	0.00333	0.01	0	0.00333	0.0233	0.0467	0.0533	0	0	0.00333	0	0	0.01	0.28	0.05	0.00667	0.1
Thermoplasmatales_Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0167	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Shewanellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0.00333	0	0.0233	0	0	0.1
SD04E11	0	0.00333	0.00333	0	0	0	0	0	0.00333	0	0	0	0.00333	0	0	0	0	0	0.03	0	0.01	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Sporolactobacillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.0133	0.0133	0	0	0	0	0.00333	0	0	0.00667	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0.1
Acetobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Rhodocyclaceae	0	0	0	0	0	0	0	0	0.00333	0	0	0	0.04	0	0	0	0	0	0	0.00667	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.37	0	0	0.1
Desulfomicrobiaceae	0	0	0.673	0	0	0.117	0	0	0	0.04	0.107	0.00667	0	0	0	0	0	0	0	0	0	0	0.0267	0	0	0	0	0	0	0	0	0	0	0	0.0267	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0367	0	0	0.1
Methylocystaceae	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0.01	0	0.00333	0	0.1
Desulfobulbaceae	0	0	0.00667	0	0	0.0167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0133	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.00333	0	0	0	0	0	0	0.00333	0	0	0.1
Myxococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0867	0	0	0.1
Mycobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0.00333	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Alcaligenaceae	0	0.00333	0.00333	0	0	0	0	0	0	0	0.00333	0	0.00333	0	0	0	0.00333	0.0167	0.0867	0	0.0233	0	0	0	0	0.06	0	0	0	0	0	0	0	0.00333	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0.00667	0	0.00667	0	0	0	0.1
Family_XII	0	0.02	0	0.0367	0	0	0	0	0.00333	0	0	0	0	0	0	0	0.00333	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0267	0	0	0.00333	0	0.01	0.00333	0	0	0	0	0.1
Eubacteriaceae	0	0	0	0	0.01	0.0267	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.03	0	0	0	0	0	0.01	0.00667	0	0	0.00333	0	0	0	0	0	0	0	0	0	0.00333	0.00667	0	0	0	0	0	0	0	0.00333	0	0	0	0.1
Methanobacteriaceae	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0.00333	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0.1
Leptospiraceae	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0267	0	0	0.1
Phyllobacteriaceae	0	0	0.00667	0	0	0	0	0	0	0.00333	0.00667	0	0	0	0	0	0	0	0.0133	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0133	0	0	0.1
Firmicutes_oral_clone_FM046	0	0	0.1	0	0	0	0.253	0.213	0	0.22	0.07	0	0.02	0	0	0	0	0	0	0	0	0	0	0.01	0.0267	0	0	0	0	0	0	0	0.0233	0	0.01	0	0.05	0.0667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37	0.223	0.1
Clostridiaceae_2	0.0267	0	0	0	0	0	0	0	0.0533	0	0	0	0	0.0433	0.01	0	0.0367	0.0467	0	0	0	0.0267	0	0	0	0	0	0	0	0	0	0	0	0.0267	0	0	0	0	0	0	0	0.00333	0	0	0	0	0.0333	0.02	0.05	0.0367	0.0133	0	0.07	0	0	0.1
Rhizobiales_Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0.00333	0.0267	0	0	0	0	0.0567	0	0	0	0	0	0	0	0.00333	0	0	0	0	0.0233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Pseudonocardiaceae	0	0	0.0233	0	0	0.00333	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0.00333	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0.1
OPB56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0233	0	0	0.1
Nevskiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0267	0	0	0.1
Oxalobacteraceae	0.0267	0	0	0.00667	0	0	0	0	0.0367	0	0	0	0.00333	0.0333	0.0167	0	0.0333	0.0533	0	0.01	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.00333	0	0	0	0	0.0333	0.01	0.0233	0.0267	0.04	0	0.29	0	0	0.1
Peptococcaceae	0	0.0233	0.0533	0.00333	0.00667	0.0433	0	0	0	0.0933	0.07	0	0	0	0	0	0	0	0.14	0.02	0.00333	0	0.00333	0	0	0	0	0	0.0433	0.00667	0	0.00333	0.06	0	0.0933	0	0	0	0.01	0	0	0.00333	0.24	0.01	0	0.18	0	0	0	0	0	0.09	0.00667	0	0	0.1
Cytophagaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0.1
