Family	AS1	AS2	AS3	G1	G2	G3	G4	G5	N1	N10	N11	N12	N13	N2	N3	N4	N5	N6	N7	N8	N9	OC1	OC10	OC11	OC12	OC2	OC3	OC4	OC5	OC6	OC7	OC8	OC9	OP1	OP10	OP11	OP12	OP13	OP2	OP3	OP4	OP5	OP6	OP7	OP8	OP9	SD1	SD2	SD3	SD4	SD5	SD6	SD7	SD8	SD9	All
Enterobacteriaceae	0.07	0.0367	0.02	52.8	10.1	0.01	2.93	0.417	0.1	1.82	0.513	2.37	62.7	0.06	14.7	30.5	1.05	0.09	0.47	1.37	0.243	0.0767	23.2	11.4	0.123	0.563	5.29	3.47	0.0133	1.06	0.99	0.31	0.00667	0.0633	0.00667	0.0433	0.663	0.05	0.493	0.413	0.607	0.477	0.05	0.827	0.37	0.297	0.83	0.0533	0.493	0.107	0.38	40	0.593	0.63	4.31	2.1
Porphyromonadaceae	0	1.03	1.56	0.04	0.507	1.63	0.13	0.0733	0.0133	5.16	1.2	0.04	0.0733	0	0	0.00333	0.0367	0.01	1.53	0.287	0.233	0.213	0.473	0.00667	0.13	0.307	0.303	0.613	0.48	0.603	0.00333	0.04	1.42	0.413	4.62	0.113	0.01	0.02	0.513	1.04	0.88	0.35	2.56	0.797	0.01	0.753	0	0.0333	0	0	0	0.14	1.6	0.0733	0.07	2.1
Pasteurellaceae	0.323	19.2	19.9	0.427	33.4	10.1	40.6	18.9	0.107	11.7	5.41	0.6	1.55	0.03	0.0367	0.03	1.57	0.08	12.6	3.77	21.3	1.41	33.1	30.1	11.2	3.39	14.1	12.1	40.5	49	25.7	16.4	37.6	1.61	32.6	40.5	45	28.2	3.71	14.5	12.4	11.5	12.7	39.5	32.2	17.1	0	0.08	0.393	0.00667	0	5.84	4.29	45.2	23	1.9
Sphingomonadaceae	0.00667	0.0333	0.0167	2.15	0	0.01	0.00333	0	0.01	0.0233	0.0367	0.00333	0.0133	0.00333	0.00667	0	0	0.01	0.173	0.177	0.37	0.00333	0	0	0	0.17	0	0	0	0.02	0	0	0	0.00333	0.00333	0	0	0	0.11	0	0	0	0.02	0	0	0	0.00667	0.00333	0	0.00667	0	0.0133	0.453	0	0.02	1.9
Family_XI	0.0267	0.927	3.27	0.0967	0.263	1.24	1.36	0.82	0.00667	3.99	20.6	1.12	0.207	0.01	0.00667	0.01	0.05	0.00333	1.07	0.247	0.317	0.0467	0.313	0.117	0.56	0.307	3.49	0.63	0.317	0.2	0.377	1.17	1.8	0.05	1.49	0.137	0.733	0.81	0.303	4.42	7.21	1.15	0.747	0.18	0.527	2.83	0.00333	0.0467	0.01	0	0	1.96	0.273	3.11	3.8	1.8
Family_XIII	0	0.15	0.6	0	0.203	1.07	0.0567	0.0567	0	0.69	0.767	0.0167	0.00333	0.00333	0	0	0.00333	0	0.333	0.0767	0.0467	0.04	0.16	0.00333	0.09	0.127	0.167	0.02	0.0833	0.213	0	0.00667	0.297	0.0167	0.457	0.0267	0.00667	0.0233	0.313	0.0567	0.0967	0.0833	0.25	0.0767	0.01	0.0433	0	0.00333	0	0	0	0.01	0.183	0.0633	0.08	1.7
Pseudomonadaceae	4.35	0.00333	0	0.103	0.00333	0	0.00333	0	4.31	0.00333	0.01	0	0.697	4.59	1.62	0.00333	3.78	4.72	0.0333	0.103	0.253	3.95	0.00333	0	0	0.137	0	0	0.00333	0.00333	0.00333	0	0	3.84	0	0	0	0	0.0567	0	0.00333	1.11	0	0	0.00333	0	4.33	4.12	3.92	4.64	5.09	0.00667	18.7	0	0	1.6
Paenibacillaceae	0.107	0.00333	0	0.00667	0	0	0	0	0.0867	0	0	0	0.00333	0.0933	0.0533	0	0.127	0.14	0	0.00333	0	0.103	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0.05	0	0	0	0	0.0567	0.107	0.0833	0.13	0.123	0	0.113	0	0	1.4
Actinomycetaceae	0.00667	0.0833	0.237	0	0.02	0.06	0.0267	1.1	0	1.15	0.633	0.12	0.22	0.00333	0	0	0	0	0.283	0.0733	0.0533	0.0233	0.0433	0.00333	0.0267	0.0867	0.00667	0	1.08	0.02	0	0	2.32	0.0133	1.32	0.0533	0.0133	0.06	0.0733	0.01	0.00667	0.00333	2.87	0.03	0.00333	0	0	0	0	0	0	0.02	0.0833	0.0133	0.0433	1.3
Campylobacteraceae	0.00667	0.2	2.45	0.00333	0.18	0.523	0.0167	0.173	0	1.88	1.58	0.103	0.0733	0.00333	0	0	0.00333	0.00667	0.283	0.0433	0.07	0.153	0.34	0.00667	0.0267	0.77	0.727	0.35	0.427	0.23	0	0.00333	1.36	0.123	1.46	0.14	0.00667	0.0167	3.58	0.483	0.39	0.0333	0.807	0.25	0.01	0.14	0.00333	0.0167	0	0	0.01	0.0333	0.277	0.00333	0.147	1.3
Xanthomonadaceae	0.0367	0.0133	0	0.117	0.01	0	0.00333	0	0.157	0.0133	0.0367	0.01	0.507	0.06	0.02	0.0133	0.04	0.0867	0.64	1.01	2.33	0.127	0.00333	0	0	6.48	0	0.00667	0.0167	0.0133	0	0	0.00667	0.14	0	0	0	0	2.43	0	0.00667	0.0267	0.0833	0.00667	0	0.00333	0.03	0.05	0.0433	0.0633	0.0733	0.0167	10.5	0	0	1.2
Peptostreptococcaceae	0.00667	0.717	0.523	0.01	0.66	0.37	0.173	0.363	0.00667	1.75	0.457	0.00667	0.04	0.01	0.00333	0	0.0633	0.0167	0.747	0.18	0.113	0.0533	0.107	0.00667	0.143	0.197	0.903	0.46	0.52	0.793	0.02	0.217	0.46	0.08	1.2	0.0333	0.00333	0.13	0.407	0.477	3.89	0.67	1.41	0.553	0.05	1.22	0.01	0.0167	0.01	0	0.01	0.813	0.19	0.0667	0.737	1.2
Caulobacteraceae	0.05	0	0.0367	0.263	0	0.0233	0	0	0.0433	0.07	0.0233	0	0.107	0.03	0.00667	0	0.0233	0.04	0.0533	0.0833	0.187	0.0333	0	0	0	0.603	0	0	0.00667	0.00333	0	0	0	0.0567	0.00333	0	0	0	0.273	0	0.00333	0.00333	0.00667	0	0	0	0.04	0.0267	0.03	0.0367	0.04	0.00667	2.17	0.00333	0	1.1
Lactobacillaceae	0.03	0.00333	0.0133	1.05	0.00333	0.00667	0.417	0.01	0.04	0	0.00333	0	0.0133	0.0667	0.0467	0	0.0467	0.03	0	0.00333	0	0.06	0.00667	0.00333	0	0.01	0	0	0	0	0	0	0.00333	0.0333	0.0133	0	0	0	0	0	0	0.01	0.00333	0	0	0	0.0367	0.0567	0.0467	0.05	0.0567	0	0.0667	0	0	1.0
Micrococcaceae	2.11	0	0.00333	0	0	0	0	0	2.08	0	0.01	0	0.0133	2.04	0.917	0	1.97	2.2	0	0.0133	0.0267	1.73	0	0	0	0.00333	0	0	0	0	0	0	0	1.66	0	0	0	0	0.00333	0	0.00333	0.667	0.00667	0	0	0	2.39	1.69	2.09	2.32	2.53	0	0.133	0	0	1.0
Bradyrhizobiaceae	0.01	0.0133	0.00333	0	0	0	0.00333	0	0	0.00333	0.00333	0.00333	0.03	0.01	0	0	0.00667	0.00667	0.173	0.1	0.13	0.00667	0	0	0	0.103	0	0	0.01	0	0	0	0	0.00667	0	0	0	0	0.07	0	0	0	0.0133	0	0	0	0.00333	0.00333	0.0133	0.00667	0.00667	0.00667	0.297	0	0.00333	0.9
Carnobacteriaceae	0.607	4.84	1.05	0.00667	17.1	0.08	2.29	0.467	0.66	5.58	5.99	10	0.9	0.673	0.437	0	0.643	0.61	9.58	1.71	2.04	0.58	12.8	0.423	0.07	17.7	0.34	0.0133	2.35	7.44	3.59	1.41	0.79	0.65	0.497	39.2	0.543	0.713	10.5	0.05	0.0233	0.217	3.19	6.19	2.85	0.923	0.553	0.64	0.647	0.687	0.607	0.903	0.72	0.917	0.247	0.9
Erysipelotrichaceae	0.01	0.143	0.293	0	0.0267	0.133	0.343	0.44	0.00333	0.963	0.48	0.01	0.0367	0	0	0	0	0	0.17	0.04	0.0867	0.0333	0.00333	0.103	0.05	0.0533	0.0733	0.00333	0.203	0.0267	0	0.05	0.39	0.0167	0.223	0.0267	0.43	0.05	0.09	0.0133	0.03	0.0767	0.187	0.0133	0.00333	1.18	0	0	0	0	0	0.457	0.00333	0.467	0.24	0.8
Leuconostocaceae	0.267	0	0	0.107	0	0	0.0167	0	0.307	0	0	0	0.02	0.35	0.17	0.00333	0.353	0.35	0	0.00333	0	0.203	0	0	0	0	0	0	0	0	0.00333	0	0	0.227	0	0	0	0	0.00333	0	0	0.103	0	0	0	0	0.273	0.257	0.337	0.427	0.38	0	0.543	0	0	0.8
Staphylococcaceae	0.02	0.0233	0.0867	0	0.0567	0.0133	0.00333	0.01	0.533	0.567	12.8	68.4	4.16	0.0933	18.6	6.16	0.08	0.00667	2.38	68.6	27.4	0.09	0.06	0.00667	0.00333	5.44	0.00333	0	0.0333	0.05	0.03	0.00667	0.0933	0.327	0.0367	0.263	0	0.0233	2.3	0.0867	0.117	0.04	0.0267	0.0233	0.0267	0.0367	0.00667	0.02	0.06	0.00333	0.00333	0.0233	0.08	0.01	0	0.8
Coriobacteriaceae	0.00333	0.0133	0.0633	0	0.0133	0.01	0.0267	0.513	0	0.383	0.14	0.00333	0.0367	0	0	0.00333	0.00333	0	0.0567	0.00667	0.01	0.0167	0.00333	0.00333	0.02	0.0567	0.0367	0.03	0.0167	0.01	0	0	0.0633	0.0167	0.0467	0.00667	0.00667	0.21	0.13	0.16	0.24	0.157	0.0367	0.0167	0	0.0167	0	0	0	0	0	0	0.01	0.0433	0.333	0.8
Ruminococcaceae	0.00333	0.14	0.07	0	0.0133	0.00667	0	0.02	0.00333	0.143	0.167	0.0167	0.01	0	0.00667	0	0.00333	0.0333	0.15	0.0367	0.00333	0.0167	0.0133	0	0.00333	0.00333	0	0	0.0467	0.00667	0	0	0.0267	0.0167	0.06	0	0	0.01	0.00333	0	0	0.04	0.13	0.01	0	0	0	0.00333	0.00667	0	0	0	0.02	0	0.03	0.7
Aerococcaceae	0.01	0	0	0	0	0	0	0	0	0	0	0	0.00333	0.01	0.01	0	0.00333	0.00333	0	0.00333	0.04	0.0233	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0.00667	0	0	0	0	0.00333	0.02	0.0133	0.00667	0.01	0	0.0333	0	0	0.7
