Class	AS1	AS2	AS3	G1	G2	G3	G4	G5	N1	N10	N11	N12	N13	N2	N3	N4	N5	N6	N7	N8	N9	OC1	OC10	OC11	OC12	OC2	OC3	OC4	OC5	OC6	OC7	OC8	OC9	OP1	OP10	OP11	OP12	OP13	OP2	OP3	OP4	OP5	OP6	OP7	OP8	OP9	SD1	SD2	SD3	SD4	SD5	SD6	SD7	SD8	SD9	All
Epsilonproteobacteria	0.00667	0.2	2.45	0.0233	0.187	16.9	0.03	0.27	0	1.89	1.58	0.103	0.0733	0.00333	0	0	0.00333	0.00667	0.307	0.05	0.0833	0.153	0.34	0.00667	0.0267	0.77	0.727	0.35	0.43	0.233	0	0.00333	1.36	0.123	1.47	0.14	0.00667	0.0167	3.58	0.483	0.39	0.0333	0.81	0.253	0.0133	0.14	0.00333	0.0167	0	0	0.01	0.0333	0.277	0.00333	0.147	1.5
Mollicutes	0	0	0.177	0	0.19	0.18	0.397	0.77	0	0.367	0.133	0.01	0.0333	0	0	0	0.00333	0	0.18	0.01	0.02	0	0.303	0.0167	0.0667	0.0267	0.00333	0.0133	0.0633	0.123	0	0.00333	0.0933	0	0.19	0.0933	0.137	0.413	0.0267	0.01	0.01	0.0133	0.14	0.12	0	0.09	0	0.00333	0	0	0	0.00667	0.337	0.53	0.967	1.0
Sphingobacteriia	0.0133	0.02	0	0.123	0.0233	0.00333	0	0	0.04	0.0267	0.0267	0.00667	0.0167	0.0267	0.01	0.0767	0.0167	0.0267	0.423	0.527	1.52	0.0567	0.00667	0	0	2.34	0	0	0.147	0.04	0	0	0	0.07	0	0	0	0	1.65	0	0	0.00333	0.163	0.03	0.00333	0.01	0.00667	0.00667	0.00667	0.0133	0.0167	0.01	0.373	0	0	0.9
Coriobacteriia	0.00333	0.0133	0.0633	0	0.0133	0.01	0.0267	0.513	0	0.383	0.14	0.00333	0.0367	0	0	0.00333	0.00333	0	0.0567	0.00667	0.01	0.0167	0.00333	0.00333	0.02	0.0567	0.0367	0.03	0.0167	0.01	0	0	0.0633	0.0167	0.0467	0.00667	0.00667	0.21	0.13	0.16	0.24	0.157	0.0367	0.0167	0	0.0167	0	0	0	0	0	0	0.01	0.0433	0.333	0.8
Erysipelotrichia	0.01	0.143	0.293	0	0.0267	0.133	0.343	0.44	0.00333	0.963	0.48	0.01	0.0367	0	0	0	0	0	0.17	0.04	0.0867	0.0333	0.00333	0.103	0.05	0.0533	0.0733	0.00333	0.203	0.0267	0	0.05	0.39	0.0167	0.223	0.0267	0.43	0.05	0.09	0.0133	0.03	0.0767	0.187	0.0133	0.00333	1.18	0	0	0	0	0	0.457	0.00333	0.467	0.24	0.8
Deltaproteobacteria	0.00333	0	0.68	0	0.0167	0.157	0.00667	0	0	0.0633	0.13	0.00667	0.00333	0.00667	0	0	0	0	0.0867	0.02	0	0	0.04	0	0	0	0	0	0.0233	0.00667	0	0	0.00333	0	0.0967	0.00333	0	0	0	0	0	0	0.0267	0.00333	0.00333	0.00333	0	0	0	0.00333	0	0.00667	0.143	0	0	0.8
Synergistia	0	0.01	0.0367	0	0.0533	0.29	0.0133	0.00667	0	0.11	0.0467	0.00333	0	0	0	0	0.00667	0	0.15	0.06	0.01	0.0167	0.21	0	0	0.00333	0	0	0.103	0.0767	0	0	0.0633	0.03	0.21	0.0467	0	0	0.0233	0	0	0.00333	0.123	0.0533	0.00667	0.0133	0	0	0	0	0	0.00333	0.0633	0.00333	0	0.6
Anaerolineae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0233	0	0	0	0.00667	0	0	0	0	0	0.00667	0.01	0	0	0	0.01	0	0	0	0	0.00667	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.00333	0	0	0.3
Opitutae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0667	0	0	0.2
Melainabacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.00667	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0.0133	0	0	0.2
Acidobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.00667	0	0	0	0	0.0133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.2
Gemmatimonadetes	0	0	0.00667	0.00333	0	0	0	0	0.00667	0	0.00333	0	0.01	0.00667	0	0	0	0	0.00667	0.0267	0.0167	0	0	0	0	0.23	0	0	0	0	0	0	0	0	0	0	0	0	0.0767	0	0	0	0	0	0	0	0	0	0	0	0	0	0.193	0	0	0.2
Thermoplasmata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0167	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Chlorobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0233	0	0	0.1
Candidatus_Saccharibacteria_bacterium_UB2523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0.00333	0	0	0	0	0.0133	0	0	0	0	0.0167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Cytophagia	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0.1
Methanobacteria	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0.00333	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0.1
Elusimicrobia	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0.1
