	AS1	AS2	AS3	SD1	SD2	SD3	SD4	SD5	SD6	SD8	SD9
545577	0	0	0	0	0	0.222222222222222	0.333333333333333	0.222222222222222	0	0	0
54794	1.5	0	0	2	2.25	1.5	2.5	3	0	0	0
551871	1.7	0	0	3	2.3	2.6	4.3	2.6	0	0	0
552143	0.4	0	0	1.1	0.5	1.2	0.7	1.4	0	0	0
553648	1.16666666666667	0	0	3	0.666666666666667	1.5	3.33333333333333	1.5	0	0	0
555945	0	0	0	1.25	0	1	0.5	0.75	0	0	0
555970	0.2	0	0	0	0.2	0	0.4	0.3	0	0	0
557570	1.4	0	0	0.8	0.8	2.4	2.4	2.6	0	0	0
557665	0	1.75	1	0	0	0	0	0	2.25	0	0
558003	5.83333333333333	0	0	10.1666666666667	5.83333333333333	8.16666666666667	4.5	3.33333333333333	0	0	0
561099	82.5	0	0	129.75	64	84.5	80.25	85.5	0	0	0
562400	1	0	2	0	0	1	0	0	0	0	0
564081	0	0	0	0	0.222222222222222	0.444444444444444	0.333333333333333	0	0	0	0
564290	1	0	0	1.57142857142857	1	1.57142857142857	1.57142857142857	0.428571428571429	0	0	0
564914	0	41.75	31.25	0	0	0	0	0	0.75	0	0
565537	2.8	0	0	2.8	2	3.8	6.2	2.2	0	0	0
56625	9.25	0	0	14.25	7	14.25	11.25	8.5	0	0	0
566717	14.3	0	0	22.9	13.1	16.2	10.1	10.1	0	0	0
566839	0.2	0	0	0.4	0.8	0.9	0.7	0.5	0	0	0
567725	0.222222222222222	0	0	0.222222222222222	0.222222222222222	0.222222222222222	0	0.333333333333333	0	0	0
567864	0.428571428571429	0	0	0.571428571428571	0	1	0.285714285714286	1	0	0	0
567972	1	0	0	1	1.5	0.666666666666667	0.833333333333333	0.666666666666667	0	0	0
568419	2.25	0	0	5	2.25	6	1.25	2	0	0	0
571744	0.8	0	0	0.6	1	1	1.8	1.2	0	0	0
572843	0.5	208.833333333333	39.8333333333333	0	0	6	0.333333333333333	0	103.666666666667	10.5	3.5
573157	4.11111111111111	0	0	6	3.77777777777778	7.11111111111111	2.66666666666667	3.22222222222222	0	0	0
573338	0.8	0	0	1.1	0.9	1.7	1.3	2.1	0	0	0
574102	45	0	0	56.75	35.25	38.5	45.25	45.5	0	0	0
574392	0	0	0	1.28571428571429	0.571428571428571	0.571428571428571	1	0.285714285714286	0	0	0
